title,domestic_revenue,international_reveneue,world_revenue,distributor,opening_revenue,opening_theaters,budget,MPAA,genres,release_days
The Nutcracker and the Four Realms,"$54,858,851","$119,102,218","$173,961,069",Walt Disney Studios Motion Pictures,"$20,352,491","3,766 theaters","$120,000,000",PG,"Adventure, Family, Fantasy","Nov 2, 2018"
Tag,"$54,730,625","$23,400,000","$78,130,625",Warner Bros.,"$14,947,396","3,382 theaters","$28,000,000",R,"Action, Comedy","Jun 15, 2018"
Maze Runner: The Death Cure,"$58,032,443","$230,142,892","$288,175,335",Twentieth Century Fox,"$24,167,011","3,793 theaters","$62,000,000",PG-13,"Action, Adventure, Sci-Fi, Thriller","Jan 26, 2018"
Tomb Raider,"$58,250,803","$216,400,000","$274,650,803",Warner Bros.,"$23,633,317","3,854 theaters","$94,000,000",PG-13,"Action, Adventure, Fantasy, Thriller","Mar 16, 2018"
Pacific Rim: Uprising,"$59,874,525","$231,055,623","$290,930,148",Universal Pictures,"$28,116,535","3,708 theaters","$150,000,000",PG-13,"Action, Adventure, Sci-Fi","Mar 23, 2018"
Blockers,"$60,311,495","$33,705,799","$94,017,294",Universal Pictures,"$20,556,350","3,418 theaters","$21,000,000",R,Comedy,"Apr 6, 2018"
The Mule,"$103,804,407","$71,000,000","$174,804,407",Warner Bros.,"$17,509,431","3,329 theaters","$50,000,000",R,"Crime, Drama, Thriller","Dec 14, 2018"
Instant Family,"$67,363,237","$53,192,964","$120,556,201",Paramount Pictures,"$14,504,315","3,426 theaters","$48,000,000",PG-13,"Comedy, Drama","Nov 16, 2018"
Insidious: The Last Key,"$67,745,330","$100,140,258","$167,885,588",Universal Pictures,"$29,581,355","3,150 theaters","$10,000,000",PG-13,"Horror, Mystery, Thriller","Jan 5, 2018"
Skyscraper,"$68,420,120","$236,448,841","$304,868,961",Universal Pictures,"$24,905,015","3,822 theaters","$125,000,000",PG-13,"Action, Adventure, Thriller","Jul 13, 2018"
The House with a Clock in Its Walls,"$68,549,695","$62,907,452","$131,457,147",Universal Pictures,"$26,608,020","3,592 theaters","$42,000,000",PG,"Comedy, Family, Fantasy, Sci-Fi","Sep 21, 2018"
Book Club,"$68,566,296","$35,871,892","$104,438,188",Paramount Pictures,"$13,582,231","3,169 theaters",N/A,PG-13,"Comedy, Drama, Romance","May 18, 2018"
Game Night,"$69,179,066","$48,500,000","$117,679,066",Warner Bros.,"$17,005,332","3,502 theaters","$37,000,000",R,"Action, Comedy, Crime, Thriller","Feb 23, 2018"
The First Purge,"$69,488,745","$67,567,517","$137,056,262",Universal Pictures,"$17,374,280","3,038 theaters","$13,000,000",R,"Action, Horror, Sci-Fi, Thriller","Jul 4, 2018"
Bumblebee,"$127,195,589","$340,794,056","$467,989,645",Paramount Pictures,"$21,654,047","3,597 theaters","$135,000,000",PG-13,"Action, Adventure, Sci-Fi","Dec 21, 2018"
Night School,"$77,339,130","$25,766,748","$103,105,878",Universal Pictures,"$27,257,615","3,019 theaters","$29,000,000",PG-13,Comedy,"Sep 28, 2018"
The Post,"$81,903,458","$97,865,999","$179,769,457",Twentieth Century Fox,"$526,011","2,851 theaters","$50,000,000",PG-13,Drama,N/A
Smallfoot,"$83,240,103","$130,800,000","$214,040,103",Warner Bros.,"$23,045,635","4,131 theaters",N/A,PG,"Adventure, Animation, Comedy, Family, Fantasy, Musical","Sep 28, 2018"
I Can Only Imagine,"$83,482,352","$2,604,529","$86,086,881",Roadside Attractions,"$17,108,914","2,894 theaters","$7,000,000",PG,"Biography, Drama, Family, Music","Mar 16, 2018"
Christopher Robin,"$99,215,042","$98,529,335","$197,744,377",Walt Disney Studios Motion Pictures,"$24,585,139","3,602 theaters","$75,000,000",PG,"Adventure, Comedy, Drama, Family, Fantasy","Aug 3, 2018"
Fifty Shades Freed,"$100,407,760","$271,577,258","$371,985,018",Universal Pictures,"$38,560,195","3,768 theaters","$55,000,000",R,"Drama, Romance, Thriller","Feb 9, 2018"
A Wrinkle in Time,"$100,478,608","$32,197,256","$132,675,864",Walt Disney Studios Motion Pictures,"$33,123,609","3,980 theaters",N/A,PG,"Adventure, Family, Fantasy, Sci-Fi","Mar 9, 2018"
Rampage,"$101,028,233","$327,000,000","$428,028,233",Warner Bros.,"$35,753,093","4,115 theaters","$120,000,000",PG-13,"Action, Adventure, Sci-Fi","Apr 13, 2018"
The Equalizer 2,"$102,084,362","$88,315,795","$190,400,157",Sony Pictures Entertainment (SPE),"$36,011,640","3,388 theaters","$62,000,000",R,"Action, Crime, Thriller","Jul 20, 2018"
Star Wars: Episode VIII - The Last Jedi,"$620,181,382","$712,358,507","$1,332,539,889",Walt Disney Studios Motion Pictures,"$220,009,584","4,232 theaters","$317,000,000",PG-13,"Action, Adventure, Fantasy, Sci-Fi","Dec 15, 2017"
Mary Poppins Returns,"$171,958,438","$177,579,056","$349,537,494",Walt Disney Studios Motion Pictures,"$23,523,121","4,090 theaters","$130,000,000",PG,"Comedy, Family, Fantasy, Musical","Dec 19, 2018"
Spider-Man: Into the Spider-Verse,"$190,241,310","$185,299,521","$375,540,831",Sony Pictures Entertainment (SPE),"$35,363,376","3,813 theaters",N/A,PG,"Action, Adventure, Animation, Family, Sci-Fi","Dec 14, 2018"
Creed II,"$115,715,889","$98,500,000","$214,215,889",Metro-Goldwyn-Mayer (MGM),"$35,574,710","3,752 theaters","$50,000,000",PG-13,"Drama, Sport","Nov 21, 2018"
Peter Rabbit,"$115,253,424","$236,013,009","$351,266,433",Sony Pictures Entertainment (SPE),"$25,010,928","3,725 theaters","$50,000,000",PG,"Adventure, Comedy, Family, Fantasy","Feb 9, 2018"
The Nun,"$117,450,119","$248,100,000","$365,550,119",Warner Bros.,"$53,807,379","3,876 theaters","$22,000,000",R,"Horror, Mystery, Thriller","Sep 7, 2018"
Mamma Mia! Here We Go Again,"$120,634,935","$274,409,771","$395,044,706",Universal Pictures,"$34,952,180","3,514 theaters","$75,000,000",PG-13,"Comedy, Musical, Romance","Jul 20, 2018"
The Greatest Showman,"$174,340,174","$260,653,009","$434,993,183",Twentieth Century Fox,"$8,805,843","3,342 theaters","$84,000,000",PG,"Biography, Drama, Musical","Dec 20, 2017"
Ready Player One,"$137,690,172","$445,200,000","$582,890,172",Warner Bros.,"$41,764,050","4,234 theaters","$175,000,000",PG-13,"Action, Adventure, Sci-Fi","Mar 29, 2018"
Ocean's Eight,"$140,218,711","$157,500,000","$297,718,711",Warner Bros.,"$41,607,378","4,145 theaters","$70,000,000",PG-13,"Action, Comedy, Crime, Thriller","Jun 8, 2018"
The Meg,"$145,443,742","$384,800,000","$530,243,742",Warner Bros.,"$45,402,195","4,118 theaters","$130,000,000",PG-13,"Action, Horror, Sci-Fi, Thriller","Aug 10, 2018"
Fantastic Beasts: The Crimes of Grindelwald,"$159,555,901","$495,300,000","$654,855,901",Warner Bros.,"$62,163,104","4,163 theaters","$200,000,000",PG-13,"Adventure, Family, Fantasy","Nov 16, 2018"
Halloween,"$159,342,015","$96,143,163","$255,485,178",Universal Pictures,"$76,221,545","3,990 theaters","$10,000,000",R,"Crime, Horror, Thriller","Oct 19, 2018"
Hotel Transylvania 3: Summer Vacation,"$167,510,016","$361,073,758","$528,583,774",Sony Pictures Entertainment (SPE),"$44,076,225","4,267 theaters","$80,000,000",PG,"Adventure, Animation, Comedy, Family, Fantasy","Jul 13, 2018"
Crazy Rich Asians,"$174,532,921","$64,000,000","$238,532,921",Warner Bros.,"$26,510,140","3,865 theaters","$30,000,000",PG-13,"Comedy, Drama, Romance","Aug 15, 2018"
Ralph Breaks the Internet,"$201,091,711","$328,232,251","$529,323,962",Walt Disney Studios Motion Pictures,"$56,237,634","4,017 theaters","$175,000,000",PG,"Adventure, Animation, Comedy, Family, Fantasy","Nov 21, 2018"
A Quiet Place,"$188,024,361","$152,915,000","$340,939,361",Paramount Pictures,"$50,203,562","3,808 theaters","$17,000,000",PG-13,"Drama, Horror, Sci-Fi","Apr 6, 2018"
Bohemian Rhapsody,"$216,428,042","$687,227,217","$903,655,259",Twentieth Century Fox,"$51,061,119","4,000 theaters","$52,000,000",PG-13,"Biography, Drama, Music","Nov 2, 2018"
Aquaman,"$335,061,807","$813,400,000","$1,148,461,807",Warner Bros.,"$67,873,522","4,184 theaters",N/A,PG-13,"Action, Adventure, Fantasy, Sci-Fi","Dec 21, 2018"
A Star Is Born,"$215,288,866","$220,900,000","$436,188,866",Warner Bros.,"$42,908,051","3,904 theaters","$36,000,000",R,"Drama, Music, Romance","Oct 5, 2018"
Venom,"$213,515,506","$642,569,645","$856,085,151",Sony Pictures Entertainment (SPE),"$80,255,756","4,250 theaters","$100,000,000",PG-13,"Action, Adventure, Sci-Fi","Oct 5, 2018"
Solo: A Star Wars Story,"$213,767,512","$179,157,295","$392,924,807",Walt Disney Studios Motion Pictures,"$84,420,489","4,381 theaters","$275,000,000",PG-13,"Action, Adventure, Sci-Fi","May 25, 2018"
Ant-Man and the Wasp,"$216,648,740","$406,025,399","$622,674,139",Walt Disney Studios Motion Pictures,"$75,812,205","4,206 theaters",N/A,PG-13,"Action, Adventure, Comedy, Sci-Fi","Jul 6, 2018"
Mission: Impossible - Fallout,"$220,159,104","$570,956,000","$791,115,104",Paramount Pictures,"$61,236,534","4,395 theaters","$178,000,000",PG-13,"Action, Adventure, Thriller","Jul 27, 2018"
Jumanji: Welcome to the Jungle,"$404,515,480","$557,562,066","$962,077,546",Sony Pictures Entertainment (SPE),"$36,169,328","3,849 theaters","$90,000,000",PG-13,"Action, Adventure, Comedy, Fantasy","Dec 20, 2017"
The Grinch,"$270,807,000","$240,975,007","$511,782,007",Universal Pictures,"$67,572,855","4,141 theaters","$75,000,000",PG,"Animation, Comedy, Family, Fantasy","Nov 9, 2018"
Deadpool 2,"$318,491,426","$416,055,185","$734,546,611",Twentieth Century Fox,"$125,507,153","4,349 theaters","$110,000,000",R,"Action, Adventure, Comedy, Sci-Fi","May 18, 2018"
Jurassic World: Fallen Kingdom,"$417,719,760","$890,748,184","$1,308,467,944",Universal Pictures,"$148,024,610","4,485 theaters","$170,000,000",PG-13,"Action, Adventure, Sci-Fi","Jun 22, 2018"
Incredibles 2,"$608,581,744","$634,223,615","$1,242,805,359",Walt Disney Studios Motion Pictures,"$182,687,905","4,410 theaters",N/A,PG,"Action, Adventure, Animation, Comedy, Family, Sci-Fi","Jun 15, 2018"
Avengers: Infinity War,"$678,815,482","$1,369,544,272","$2,048,359,754",Walt Disney Studios Motion Pictures,"$257,698,183","4,474 theaters",N/A,PG-13,"Action, Adventure, Sci-Fi","Apr 27, 2018"
Black Panther,"$700,059,566","$646,853,595","$1,346,913,161",Walt Disney Studios Motion Pictures,"$202,003,951","4,084 theaters",N/A,PG-13,"Action, Adventure, Sci-Fi","Feb 16, 2018"
National Bird,"$10,656",N/A,"$10,656",FilmRise,"$3,030",8 theaters,N/A,N/A,Documentary,"Nov 11, 2016"
NightLights,"$21,147",N/A,"$21,147",Indican Pictures,"$6,414",6 theaters,N/A,R,Drama,"Aug 29, 2014"
Peter and the Farm,"$18,123",N/A,"$18,123",Magnolia Pictures,"$3,844",8 theaters,N/A,N/A,Documentary,"Nov 4, 2016"
My Annoying Brother,"$51,996","$19,110,328","$19,162,324",CJ Entertainment,N/A,2 theaters,N/A,N/A,"Comedy, Drama","Dec 23, 2016"
Justice Is Mind,"$14,360",N/A,"$14,360",The Ashton Times,"$5,418",1 theater,N/A,N/A,"Crime, Drama, Mystery, Sci-Fi","Aug 18, 2013"
Paths of the Soul,"$31,747",N/A,"$31,747",Icarus Films,"$2,780",3 theaters,N/A,N/A,Drama,"May 13, 2016"
The Hill Chris Climbed: The Gridiron Heroes Story,"$23,487",N/A,"$23,487",Indican Pictures,N/A,5 theaters,N/A,N/A,"Biography, Documentary, Family, Sport","Apr 15, 2016"
2:22,$422,"$3,945,307","$3,945,729",Magnolia Pictures,$294,3 theaters,N/A,PG-13,"Drama, Mystery, Sci-Fi, Thriller","Jun 30, 2017"
Anatahan,"$8,171",N/A,"$8,171",Kino Lorber,N/A,1 theater,N/A,N/A,"Drama, History, War","Feb 3, 2017"
This Last Lonely Place,"$20,507",N/A,"$20,507",Indican Pictures,"$6,089",4 theaters,N/A,N/A,"Crime, Drama, Thriller","Aug 12, 2016"
The Eyes of My Mother,"$27,099","$2,440","$29,539",Magnolia Pictures,"$8,908",17 theaters,N/A,R,"Drama, Horror","Dec 2, 2016"
La folle histoire de Max et Léon,$543,"$8,750,135","$8,750,678",Distrib Films,N/A,1 theater,N/A,N/A,"Comedy, War","Mar 15, 2017"
The Black Dove,"$22,517",N/A,"$22,517",Indican Pictures,"$7,124",3 theaters,N/A,N/A,Drama,"Aug 12, 2016"
Off the Rails,"$34,249",N/A,"$34,249",The Film Collaborative,"$8,795",3 theaters,N/A,N/A,Documentary,"Nov 18, 2016"
Amityville: The Awakening,$742,"$8,481,255","$8,481,997",Dimension Films,$742,10 theaters,N/A,PG-13,"Horror, Thriller","Oct 28, 2017"
The Witness,"$159,305",N/A,"$159,305",FilmRise,"$14,523",15 theaters,N/A,N/A,"Biography, Crime, Documentary, Mystery","Jun 3, 2016"
Julian Schnabel: A Private Portrait,"$9,103",N/A,"$9,103",Cohen Media Group,N/A,1 theater,N/A,N/A,Documentary,"May 5, 2017"
I Am Not Madame Bovary,"$436,798","$70,389,409","$70,826,207",Well Go USA Entertainment,"$181,552",39 theaters,N/A,N/A,"Comedy, Drama","Nov 18, 2016"
Extraordinary Ordinary People,$880,N/A,$880,First Run,$744,1 theater,N/A,N/A,Documentary,"Sep 15, 2017"
Always Shine,"$17,102",N/A,"$17,102",Oscilloscope,"$4,211",15 theaters,N/A,N/A,"Drama, Horror, Mystery, Thriller","Nov 25, 2016"
Christine,"$298,525","$14,940","$313,465",The Orchard,"$13,384",57 theaters,N/A,R,"Biography, Drama","Oct 14, 2016"
The Penguin Counters,$976,N/A,$976,First Run,$976,1 theater,N/A,N/A,"Adventure, Documentary","Apr 21, 2017"
The Student,"$1,126","$316,997","$318,123",Under The Milky Way,N/A,1 theater,N/A,N/A,Drama,"Apr 14, 2017"
The Loving Story,"$3,518",N/A,"$3,518",Icarus Films,N/A,4 theaters,N/A,N/A,"Documentary, Drama, History, Romance","Nov 1, 2016"
A Different American Dream,"$1,172",N/A,"$1,172",First Run,$848,1 theater,N/A,N/A,Documentary,"Jan 6, 2017"
It's Not Yet Dark,"$1,227","$4,042","$5,269",FilmRise,$811,2 theaters,N/A,N/A,Documentary,"Aug 4, 2017"
The Lion in Winter,"$18,177",N/A,"$18,177",Rialto Pictures,"$5,339",2 theaters,N/A,N/A,"Biography, Drama, History","Dec 16, 2016"
Believe,"$890,303",N/A,"$890,303",Freestyle Releasing,"$477,387",638 theaters,N/A,PG,Drama,"Dec 2, 2016"
Clash,"$18,215","$124,906","$143,121",Kino Lorber,N/A,1 theater,N/A,N/A,"Drama, Thriller, War","Mar 11, 2017"
The Forest for the Trees,"$1,410",N/A,"$1,410",Film Movement,N/A,1 theater,N/A,N/A,Drama,"Jan 18, 2017"
The Outcasts,"$1,455","$59,795","$61,250",Swen Releasing,"$1,008",11 theaters,N/A,PG-13,Comedy,"Apr 14, 2017"
Almost Friends,"$1,481","$34,361","$35,842",Orion Pictures,N/A,12 theaters,N/A,N/A,"Comedy, Drama","Nov 17, 2017"
Do Not Resist,"$72,791",N/A,"$72,791",Vanish Films,"$7,150",8 theaters,N/A,N/A,Documentary,"Sep 30, 2016"
Level Five,"$27,000",N/A,"$27,000",Icarus Films,"$7,161",2 theaters,N/A,N/A,"Documentary, Romance, War","Aug 15, 2014"
The Battle of Algiers,"$56,853",N/A,"$56,853",Rialto Pictures,"$13,536",7 theaters,N/A,N/A,"Drama, War","Oct 7, 2016"
Never,"$20,431",N/A,"$20,431",Indican Pictures,"$4,312",4 theaters,N/A,N/A,Drama,"Aug 19, 2016"
The Greasy Strangler,"$45,878","$21,549","$67,427",FilmRise,"$22,500",11 theaters,N/A,N/A,"Comedy, Horror","Oct 7, 2016"
Magnus,"$8,944","$92,795","$101,739",FilmRise,"$1,204",6 theaters,N/A,N/A,Documentary,"Nov 18, 2016"
The Romans,"$19,705",N/A,"$19,705",Indican Pictures,"$3,256",3 theaters,N/A,N/A,Drama,"May 27, 2016"
The Polar Express,"$765,154",N/A,"$765,154",Warner Bros.,N/A,129 theaters,"$165,000,000",N/A,"Adventure, Animation, Comedy, Family, Fantasy, Musical","Nov 11, 2016"
Detour,"$1,788",N/A,"$1,788",Magnolia Pictures,$145,5 theaters,N/A,R,"Action, Thriller","Jan 20, 2017"
"Accidental Courtesy: Daryl Davis, Race & America","$1,940",N/A,"$1,940",First Run,"$1,452",1 theater,N/A,N/A,"Biography, Documentary, History","Jan 6, 2017"
"Intent to Destroy: Death, Denial & Depiction","$18,340",N/A,"$18,340",GathrFilms,N/A,2 theaters,N/A,N/A,"Documentary, History","Dec 4, 2017"
The Ghoul,"$2,032","$16,427","$18,459",Arrow Films,$249,4 theaters,N/A,N/A,"Drama, Thriller","Aug 4, 2017"
Dayveon,"$2,077",N/A,"$2,077",FilmRise,"$1,592",3 theaters,N/A,N/A,Drama,"Sep 13, 2017"
7 from Etheria,"$2,208",N/A,"$2,208",Parade Deck Films,$940,2 theaters,N/A,N/A,"Action, Comedy, Fantasy, Horror, Sci-Fi, Thriller","Jul 7, 2017"
Behind the White Glasses,"$2,223","$2,547","$4,770",Kino Lorber,$900,1 theater,N/A,N/A,"Biography, Documentary","Apr 21, 2017"
Red Christmas,"$2,255",N/A,"$2,255",Artsploitation Films,$280,3 theaters,N/A,N/A,"Horror, Thriller","Aug 25, 2017"
Under the Sun,"$105,036","$200,957","$305,993",Icarus Films,"$15,454",6 theaters,N/A,N/A,Documentary,"Jul 6, 2016"
In Between,"$107,977","$1,571,975","$1,679,952",Film Movement,"$5,888",8 theaters,N/A,N/A,Drama,"Jan 5, 2018"
A Grin Without A Cat,"$43,616",N/A,"$43,616",Icarus Films,"$8,449",1 theater,N/A,N/A,Documentary,"May 1, 2002"
Miles,"$2,537",N/A,"$2,537",Freestyle Releasing,"$2,147",2 theaters,N/A,N/A,"Comedy, Drama, Family, Sport","Jun 9, 2017"
New World Order,"$20,205",N/A,"$20,205",Indican Pictures,"$2,790",3 theaters,N/A,N/A,"Action, Crime, Drama","Sep 23, 2016"
Take Me,"$2,583",N/A,"$2,583",The Orchard,"$2,583",2 theaters,N/A,N/A,"Comedy, Crime","May 5, 2017"
Apprentice,"$2,578","$58,174","$60,752",Film Movement,N/A,3 theaters,N/A,N/A,Drama,"Mar 3, 2017"
Daughter of the Nile,"$2,640",N/A,"$2,640",Cohen Media Group,N/A,1 theater,N/A,N/A,"Crime, Drama","Oct 27, 2017"
Santoalla,"$2,684",N/A,"$2,684",Oscilloscope,$489,1 theater,N/A,N/A,"Documentary, Mystery","Jul 19, 2017"
No Home Movie,"$32,757",N/A,"$32,757",Icarus Films,N/A,5 theaters,N/A,N/A,Documentary,"Feb 18, 2016"
1898: Our Last Men in the Philippines,"$2,848","$1,992,197","$1,995,045",Sony Pictures Entertainment (SPE),"$1,844",10 theaters,N/A,R,"Drama, History, War","Mar 3, 2017"
I Dream in Another Language,"$2,739",N/A,"$2,739",FilmRise,$810,1 theater,N/A,N/A,"Drama, Romance","Jul 28, 2017"
Demons,"$2,900",N/A,"$2,900",Uncork'd Entertainment,"$1,202",3 theaters,N/A,N/A,Horror,"Oct 5, 2017"
Kepler's Dream,"$2,923",N/A,"$2,923",Independent,"$1,582",11 theaters,N/A,N/A,"Adventure, Drama, Family, Mystery, Western","Dec 1, 2017"
Tanna,"$46,654","$55,571","$102,225",Lightyear Entertainment,"$5,711",10 theaters,N/A,N/A,"Adventure, Drama, Romance","Sep 16, 2016"
The Levelling,"$3,040","$115,411","$118,451",Monterey Media,$160,4 theaters,N/A,R,Drama,"Mar 24, 2017"
Tower,"$101,987",N/A,"$101,987",Kino Lorber,N/A,13 theaters,N/A,N/A,"Animation, Crime, Documentary","Sep 28, 2016"
The Bad Kids,"$6,226",N/A,"$6,226",FilmRise,"$1,564",6 theaters,N/A,N/A,Documentary,"Dec 16, 2016"
Bugs,"$3,742",N/A,"$3,742",Kino Lorber,N/A,3 theaters,N/A,N/A,Documentary,"Jun 5, 2017"
Justice,"$3,259",N/A,"$3,259",Independent,"$2,154","4,051 theaters",N/A,R,"Drama, Western","Sep 15, 2017"
Planetarium,"$3,262","$543,322","$546,584",Swen Releasing,$625,1 theater,N/A,N/A,"Drama, Fantasy, Mystery, Romance, Thriller","Aug 11, 2017"
On the Map,"$17,099",N/A,"$17,099",Hey Jude Productions,$151,4 theaters,N/A,N/A,"Documentary, Sport","Nov 25, 2016"
Bad Match,"$3,351",N/A,"$3,351",Orion Pictures,N/A,10 theaters,N/A,N/A,"Mystery, Thriller","Nov 3, 2017"
Amanda & Jack Go Glamping,"$3,352",N/A,"$3,352",Orion Pictures,N/A,12 theaters,N/A,N/A,"Comedy, Drama, Romance","Nov 10, 2017"
Spices of Liberty,"$13,463",N/A,"$13,463",Hannover House,"$6,075",2 theaters,N/A,PG,"Drama, Family, Romance","Oct 21, 2016"
Speed Sisters,"$3,423",N/A,"$3,423",First Run,$370,2 theaters,N/A,N/A,"Adventure, Documentary, Drama, Sport","Jan 27, 2017"
"Love, Sweat and Tears","$3,482",N/A,"$3,482",Kino Lorber,$512,2 theaters,N/A,N/A,Documentary,"Apr 7, 2017"
Who's Crazy?,"$3,497",N/A,"$3,497",Kino Lorber,"$1,355",2 theaters,N/A,N/A,Drama,"Mar 10, 2017"
The Lovely Month of May,"$55,038",N/A,"$55,038",Icarus Films,"$10,662",3 theaters,N/A,N/A,Documentary,"Sep 13, 2013"
The Beautiful Troublemaker,"$3,540",N/A,"$3,540",Cohen Media Group,"$1,887",1 theater,N/A,N/A,Drama,"Nov 24, 2017"
The Gender Card Flip,"$3,774",N/A,"$3,774",Smarthouse Creative / Distribber,"$2,978",1 theater,N/A,N/A,Comedy,"Sep 8, 2017"
Soul on a String,"$3,669","$487,625","$491,294",Film Movement,"$1,355",2 theaters,N/A,N/A,Drama,"May 19, 2017"
The Woman Who Left,"$3,974",$399,"$4,373",Kino Lorber,"$2,018",1 theater,N/A,N/A,Drama,"May 19, 2017"
Dream Boat,"$3,981",N/A,"$3,981",Strand Releasing,"$2,199",1 theater,N/A,N/A,Documentary,"Nov 3, 2017"
Emily,"$3,982",N/A,"$3,982",Hibernation Films,"$1,164",2 theaters,N/A,N/A,Drama,"Jan 27, 2017"
Train to Busan,"$2,129,768","$90,612,555","$92,742,323",Well Go USA Entertainment,"$284,776",36 theaters,N/A,N/A,"Action, Horror, Thriller","Jul 22, 2016"
Dalida,"$3,465","$5,619,669","$5,623,134",Under The Milky Way,"$3,170",1 theater,N/A,N/A,"Biography, Drama, Music","Aug 26, 2017"
Badsville,"$4,153",N/A,"$4,153",Epic Pictures Group,"$3,050",2 theaters,N/A,N/A,"Action, Drama, Romance","Dec 1, 2017"
Singularity,"$4,176","$82,646","$86,822",Vertical Entertainment,$533,75 theaters,N/A,PG-13,"Action, Adventure, Drama, Sci-Fi","Nov 3, 2017"
Bad Lucky Goat,"$5,088",N/A,"$5,088",Film Movement,$170,4 theaters,N/A,N/A,"Comedy, Drama","Oct 13, 2017"
My Father Die,"$4,252",N/A,"$4,252",FilmRise,"$3,229",10 theaters,N/A,N/A,"Action, Drama","Jan 20, 2017"
German Concentration Camps Factual Survey,"$4,468",N/A,"$4,468",First Run,"$3,000",1 theater,N/A,N/A,Documentary,"Jan 6, 2017"
The Pulitzer at 100,"$4,489",N/A,"$4,489",First Run,"$2,577",1 theater,N/A,N/A,Documentary,"Jul 21, 2017"
Vengeance: A Love Story,"$4,526","$68,744","$73,270",FilmRise,"$4,526",11 theaters,N/A,N/A,"Action, Thriller","Sep 15, 2017"
A Boy Called Po,"$4,550",N/A,"$4,550",Freestyle Releasing,"$2,693",10 theaters,N/A,PG,"Drama, Fantasy","Sep 1, 2017"
Shakespeare-Wallah,"$4,650",N/A,"$4,650",Cohen Media Group,"$3,378",1 theater,N/A,N/A,Drama,"Nov 10, 2017"
The Tribes of Palos Verdes,"$11,603",N/A,"$11,603",IFC Films,$796,9 theaters,N/A,R,Drama,"Dec 1, 2017"
I Love You Both,"$4,661",N/A,"$4,661",Magnolia Pictures,"$3,236",7 theaters,N/A,N/A,"Comedy, Drama","Jun 9, 2017"
Night School,"$4,663",N/A,"$4,663",Oscilloscope,"$1,588",2 theaters,N/A,N/A,Documentary,"Jun 9, 2017"
Miss Kiet's Children,"$9,384",N/A,"$9,384",Icarus Films,"$2,035",2 theaters,N/A,N/A,Documentary,"Dec 13, 2017"
Shot,"$4,701",N/A,"$4,701",Paladin,N/A,10 theaters,N/A,N/A,Drama,"Sep 22, 2017"
Company Town,"$4,934",N/A,"$4,934",First Run,"$2,150",1 theater,N/A,N/A,Documentary,"Sep 8, 2017"
The Daughter,"$26,376","$1,479,058","$1,505,434",Kino Lorber,N/A,2 theaters,N/A,N/A,Drama,"Jan 27, 2017"
Reset,"$5,454","$68,887","$74,341",FilmRise,"$2,198",2 theaters,N/A,N/A,Documentary,"Jan 13, 2017"
The Man from Earth: Holocene,"$5,472",N/A,"$5,472",Parade Deck Films,"$3,100",2 theaters,N/A,N/A,"Drama, Fantasy, Sci-Fi","Oct 13, 2017"
Icaros: A Vision,"$5,510",N/A,"$5,510",Factory 25,"$5,510",1 theater,N/A,N/A,Drama,"May 19, 2017"
Gold,"$5,539","$1,522,646","$1,528,185",Sony Pictures Entertainment (SPE),"$2,571",10 theaters,N/A,R,"Adventure, Drama, History","Dec 1, 2017"
No culpes al karma de lo que te pasa por gilipollas,"$5,614","$2,236,857","$2,242,471",Sony Pictures Entertainment (SPE),"$3,660",10 theaters,N/A,R,"Comedy, Romance","Mar 24, 2017"
Shut In,"$6,900,335","$6,181,736","$13,082,071",EuropaCorp,"$3,613,567","2,058 theaters",N/A,PG-13,"Drama, Horror, Mystery, Thriller","Nov 11, 2016"
La Chinoise,"$5,631",N/A,"$5,631",Kino Lorber,"$2,340",1 theater,N/A,N/A,"Comedy, Drama","Jul 21, 2017"
The Ardennes,"$5,638","$1,361,241","$1,366,879",Film Movement,$840,6 theaters,N/A,N/A,Drama,"Jan 6, 2017"
The Vault,"$5,728","$341,001","$346,729",FilmRise,"$4,308",11 theaters,N/A,N/A,"Crime, Horror, Mystery, Thriller","Sep 1, 2017"
Trespass Against Us,"$5,711","$511,486","$517,197",A24,"$1,620",20 theaters,N/A,R,"Action, Crime, Drama, Thriller","Jan 20, 2017"
The Dark Below,"$7,095",N/A,"$7,095",Parade Deck Films,"$1,526",3 theaters,N/A,N/A,"Horror, Thriller","Mar 10, 2017"
Best Worst Thing That Ever Could Have Happened,"$106,986",N/A,"$106,986",Abramorama,"$23,490",7 theaters,N/A,N/A,Documentary,"Nov 18, 2016"
The Work,"$5,853","$14,701","$20,554",The Orchard,"$3,286",2 theaters,N/A,N/A,Documentary,"Oct 27, 2017"
Tad the Lost Explorer and the Secret of King Midas,"$5,874","$35,698,172","$35,704,046",Paramount Classics,"$4,028",100 theaters,N/A,PG,"Adventure, Animation, Comedy, Family, Fantasy","Dec 1, 2017"
"Kill Me, Deadly","$36,027",N/A,"$36,027",Indican Pictures,"$11,600",3 theaters,N/A,N/A,"Comedy, History, Mystery","Apr 1, 2016"
Starless Dreams,"$5,937",N/A,"$5,937",The Cinema Guild,$707,2 theaters,N/A,N/A,Documentary,"Jan 20, 2017"
The Seasons In Quincy: Four Portraits of John Berger,"$28,456","$32,811","$61,267",Icarus Films,"$5,304",2 theaters,N/A,N/A,"Biography, Documentary","Aug 31, 2016"
