title,domestic_revenue,international_reveneue,world_revenue,distributor,opening_revenue,opening_theaters,budget,MPAA,genres,release_days
Ek Ladki Ko Dekha Toh Aisa Laga,"$1,182,636","$2,349,201","$3,531,837",FIP,"$606,775",193 theaters,N/A,N/A,"Comedy, Drama, Romance","Feb 1, 2019"
Los Domirriqueños 2,"$1,187,280",N/A,"$1,187,280",Spanglish Movies,"$341,847",82 theaters,N/A,N/A,"Comedy, Sport","Mar 14, 2019"
Kingdom Men Rising,"$1,188,936",N/A,"$1,188,936",Fathom Events,N/A,705 theaters,N/A,Not Rated,Documentary,"Apr 29, 2019"
High Life,"$1,225,852","$907,181","$2,133,033",A24,"$99,341",146 theaters,N/A,R,"Adventure, Drama, Horror, Mystery, Sci-Fi, Thriller","Apr 5, 2019"
All Is True,"$1,200,481","$1,818,662","$3,019,143",Sony Pictures Classics,"$44,211",328 theaters,N/A,PG-13,"Biography, Drama, History","May 10, 2019"
BTS World Tour 'Love Yourself: Speak Yourself' (The Final) Seoul Live Viewing,"$1,226,552",N/A,"$1,226,552",Fathom Events,"$1,226,552",490 theaters,N/A,N/A,Music,"Oct 27, 2019"
Asterix: The Secret of the Magic Potion,"$1,271,953","$44,949,251","$46,221,204",Entertainment One,"$193,040",76 theaters,N/A,N/A,"Adventure, Animation, Comedy, Family, Fantasy","Feb 15, 2019"
Metallica & San Francisco Symphony - S&M2,"$1,252,385","$1,330,462","$2,582,847",Trafalgar Releasing,"$144,736",655 theaters,N/A,N/A,Music,"Oct 9, 2019"
Can You Ever Forgive Me?,"$8,803,865","$3,638,296","$12,442,161",Fox Searchlight Pictures,"$161,510",555 theaters,N/A,R,"Biography, Comedy, Crime, Drama","Oct 19, 2018"
Pilgrim's Progress,"$1,294,596","$1,878,686","$3,173,282",Fathom Events,"$678,647",758 theaters,N/A,PG,"Adventure, Animation, Family, Fantasy","Apr 18, 2019"
Spirited Away,"$1,322,927",N/A,"$1,322,927",Fathom Events,"$561,821",768 theaters,N/A,PG,"Adventure, Animation, Family, Fantasy, Mystery","Oct 27, 2019"
Never Look Away,"$1,304,042","$4,889,192","$6,193,234",Sony Pictures Classics,N/A,122 theaters,N/A,R,"Biography, Drama, Romance, Thriller, War","Nov 30, 2018"
1917,"$159,227,644","$225,679,098","$384,906,742",Universal Pictures,"$576,216","3,987 theaters","$95,000,000",R,"Drama, Thriller, War",N/A
El Chicano,"$1,400,603","$4,043","$1,404,646",Briarcliff Entertainment,"$700,261",605 theaters,N/A,R,"Action, Crime, Drama, Thriller","May 3, 2019"
Fantastic Fungi,"$1,788,322","$89,353","$1,877,675",Area 23a,"$9,419",37 theaters,N/A,N/A,Documentary,"Sep 20, 2019"
Destroyer,"$1,533,324","$4,047,616","$5,580,940",Annapurna Pictures,"$55,347",235 theaters,N/A,R,"Action, Crime, Drama, Mystery, Thriller","Dec 25, 2018"
The Wife,"$9,601,092","$10,377,097","$19,978,189",Sony Pictures Classics,"$108,284",541 theaters,N/A,R,Drama,"Aug 17, 2018"
Kinky Boots the Musical,"$900,451","$1,941,809","$2,842,260",Fathom Events,"$386,612",492 theaters,N/A,N/A,Musical,"Jun 25, 2019"
The Kid,"$1,508,593","$44,890","$1,553,483",Lionsgate,"$514,286",268 theaters,N/A,R,"Biography, Drama, Western","Mar 8, 2019"
Qué León,"$2,607,916","$5,200,000","$7,807,916",Spanglish Movies,"$291,936",86 theaters,N/A,PG-13,"Comedy, Romance","Nov 29, 2018"
Capernaum,"$1,661,096","$62,755,907","$64,417,003",Sony Pictures Classics,"$24,988",136 theaters,N/A,R,Drama,"Dec 14, 2018"
Waves,"$1,658,790","$911,504","$2,570,294",A24,"$134,333",570 theaters,N/A,R,"Drama, Romance, Sport","Nov 15, 2019"
Extreme Job,"$1,565,885","$118,366,848","$119,932,733",CJ Entertainment,"$42,587",26 theaters,N/A,N/A,"Action, Comedy, Crime","Jan 25, 2019"
Red Joan,"$1,579,730","$9,067,763","$10,647,493",IFC Films,"$38,949",195 theaters,N/A,R,"Biography, Drama, History, Romance","Apr 19, 2019"
After the Wedding,"$1,574,258","$1,215,761","$2,790,019",Sony Pictures Classics,"$50,264",428 theaters,N/A,PG-13,Drama,"Aug 9, 2019"
Made for More,"$2,999,134",N/A,"$2,999,134",Fathom Events,N/A,703 theaters,N/A,N/A,Documentary,"Aug 2, 2018"
The Aftermath,"$1,618,497","$7,597,094","$9,215,591",Fox Searchlight Pictures,"$56,419",344 theaters,N/A,R,"Drama, Romance, War","Mar 15, 2019"
Wild Rose,"$1,635,117","$5,488,332","$7,123,449",Neon,"$52,938",195 theaters,N/A,R,"Comedy, Drama, Music","Jun 21, 2019"
The Other Side of Heaven 2: Fire of Faith,"$1,807,216",N/A,"$1,807,216",ArtAffects Entertainment,"$454,257",205 theaters,N/A,PG-13,"Adventure, Biography, Drama","Jun 28, 2019"
Ip Man 4: The Finale,"$3,956,031","$172,389,935","$176,345,966",Well Go USA Entertainment,"$737,718",125 theaters,N/A,N/A,"Action, Biography, Drama, History","Dec 25, 2019"
Pandas,"$7,574,012","$61,766","$7,635,778",Warner Bros.,"$158,915",35 theaters,N/A,G,"Documentary, Short","Apr 6, 2018"
Ben Is Back,"$3,703,184","$6,431,020","$10,134,204",Roadside Attractions,"$80,734",598 theaters,N/A,R,Drama,"Dec 7, 2018"
Badla,"$1,861,000","$1,729,894","$3,590,894",Reliance Big Pictures,"$596,446",115 theaters,N/A,N/A,"Crime, Drama, Mystery, Thriller","Mar 8, 2019"
The White Crow,"$1,828,784","$5,793,811","$7,622,595",Sony Pictures Classics,"$78,782",365 theaters,N/A,R,"Biography, Drama","Apr 26, 2019"
Official Secrets,"$1,988,546","$7,485,057","$9,473,603",IFC Films,"$64,965",485 theaters,N/A,R,"Biography, Crime, Drama, Thriller, War","Aug 30, 2019"
Better Days,"$1,921,657","$223,957,408","$225,879,065",Well Go USA Entertainment,"$989,536",88 theaters,N/A,N/A,"Crime, Drama, Family, Romance","Nov 8, 2019"
