title,domestic_revenue,world_revenue,distributor,opening_revenue,opening_theaters,budget,MPAA,genres,release_days
Alpha,"$35,857,181",N/A,N/A,Studio 8,"$10,352,512","2,881 theaters","$51,000,000",PG-13,"Action, Adventure, Drama","Aug 17, 2018"
Mile 22,"$36,108,758",N/A,N/A,STX Entertainment,"$13,710,825","3,520 theaters","$50,000,000",R,"Action, Thriller","Aug 17, 2018"
The 15:17 to Paris,"$36,276,286",N/A,N/A,Warner Bros.,"$12,554,286","3,042 theaters","$30,000,000",PG-13,"Biography, Drama, Thriller","Feb 9, 2018"
The Commuter,"$36,343,858",N/A,N/A,Lionsgate,"$13,701,452","2,892 theaters",N/A,PG-13,"Action, Mystery, Thriller","Jan 12, 2018"
Darkest Hour,"$56,468,410",N/A,N/A,Focus Features,"$175,006","1,733 theaters",N/A,PG-13,"Biography, Drama, History, War",N/A
"Love, Simon","$40,826,341",N/A,N/A,Twentieth Century Fox,"$11,756,244","2,434 theaters","$17,000,000",PG-13,"Comedy, Drama, Romance","Mar 16, 2018"
Paddington 2,"$40,891,591",N/A,N/A,Warner Bros.,"$11,001,961","3,702 theaters",N/A,PG,"Adventure, Comedy, Family, Fantasy","Jan 12, 2018"
Truth or Dare,"$41,411,015",N/A,N/A,Universal Pictures,"$18,667,855","3,068 theaters","$3,500,000",PG-13,"Horror, Thriller","Apr 13, 2018"
Pitch Perfect 3,"$104,897,530",N/A,N/A,Universal Pictures,"$19,928,525","3,468 theaters","$45,000,000",PG-13,"Comedy, Music","Dec 22, 2017"
Widows,"$42,402,632",N/A,N/A,Twentieth Century Fox,"$12,361,307","2,803 theaters","$42,000,000",R,"Crime, Drama, Thriller","Nov 16, 2018"
Uncle Drew,"$42,469,946",N/A,N/A,Lionsgate,"$15,242,781","2,742 theaters",N/A,PG-13,"Comedy, Sport","Jun 29, 2018"
Sherlock Gnomes,"$43,242,871",N/A,N/A,Paramount Pictures,"$10,604,774","3,662 theaters","$59,000,000",PG,"Adventure, Animation, Comedy, Family, Fantasy, Mystery, Romance","Mar 23, 2018"
Tyler Perry's Acrimony,"$43,549,096",N/A,N/A,Lionsgate,"$17,170,707","2,006 theaters",N/A,R,Thriller,"Mar 30, 2018"
Hereditary,"$44,069,456",N/A,N/A,A24,"$13,575,172","2,998 theaters",N/A,R,"Drama, Horror, Mystery, Thriller","Jun 8, 2018"
First Man,"$44,936,545",N/A,N/A,Universal Pictures,"$16,006,065","3,640 theaters","$59,000,000",PG-13,"Biography, Drama, History","Oct 12, 2018"
Den of Thieves,"$44,947,622",N/A,N/A,STX Entertainment,"$15,206,108","2,432 theaters",N/A,R,"Action, Crime, Drama, Thriller","Jan 19, 2018"
12 Strong,"$45,819,713",N/A,N/A,Warner Bros.,"$15,815,025","3,018 theaters",N/A,R,"Action, Drama, History, War","Jan 19, 2018"
Goosebumps 2: Haunted Halloween,"$46,700,633",N/A,N/A,Sony Pictures Entertainment (SPE),"$15,802,225","3,723 theaters","$35,000,000",PG,"Adventure, Comedy, Family, Fantasy, Horror","Oct 12, 2018"
Breaking In,"$46,840,590",N/A,N/A,Universal Pictures,"$17,630,285","2,537 theaters","$6,000,000",PG-13,"Action, Thriller","May 11, 2018"
